職位,公司,薪資,上班時段,工作地點,刊登日期,連結
實習生(大專院校在學學生)---時薪$185元起,濤寶有限公司,時薪185元以上,日班，09:00~18:00 (含休息1H),台北市大安區,5/03更新,https://www.104.com.tw/job/82kgc
【2024年遇見未來･富邦實習】學生職場實習_通路服務(桃園地區),富邦人壽保險股份有限公司(總公司),時薪195~210元,日班，08:30~17:30,桃園市中壢區,5/06更新,https://www.104.com.tw/job/8a9pn
Design Intern 設計實習生 (Roo),Gogolook_走著瞧股份有限公司,時薪183元,日班，10:00-19:00,台北市大安區,4/29更新,https://www.104.com.tw/job/86wwo
【學生實習專區】資訊部開發實習生,易遊網旅行社股份有限公司,時薪200~220元,日班，08:45-17:45,台北市中山區,5/02更新,https://www.104.com.tw/job/8bhro
數位行銷實習生 Digital Marketing Assistant (實習/兼職身份),香港商月中秋有限公司台灣分公司,時薪183元以上,日班，0900-1800,台北市信義區,4/26更新,https://www.104.com.tw/job/8ao52
大學以上在學專案企業實習生（暑期）,新光人壽保險股份有限公司_民權通訊處(蔡彥志)(核准編號: E-AC-112-005),"論件計酬3,000元",日班，早上10點-12點 午休到1點半 下午1點半-4點半,台中市西區,5/01更新,https://www.104.com.tw/job/7xf20
【實習生】品牌行銷企劃(非寒、暑假實習職缺),愛酷智能科技股份有限公司,時薪183元,日班，9:00~18:00,台北市松山區,5/06更新,https://www.104.com.tw/job/818o9
學生實習-平面設計,宜蘭囝仔活動企劃顧問有限公司,待遇面議,日班，08:30-17:30,宜蘭縣宜蘭市,5/03更新,https://www.104.com.tw/job/4hope
平面設計實習生,東育實業股份有限公司,時薪190~250元,日班，09:00~17:15,桃園市桃園區,5/06更新,https://www.104.com.tw/job/6u2dm
Design Verification Internship 實習生 (台南),盧森堡商達爾國際股份有限公司台灣分公司,"月薪35,000~40,000元",日班，08:30-17:30,台南市歸仁區,4/16更新,https://www.104.com.tw/job/887ow
Application Engineer Internship 實習生 (台南),盧森堡商達爾國際股份有限公司台灣分公司,"月薪35,000~40,000元",日班，08:30-17:30,台南市歸仁區,4/16更新,https://www.104.com.tw/job/85y81
實習生（專案助理）-台中(部門：A-02),網曜管理顧問有限公司,"月薪27,470元",日班，09:00-18:00,台中市西屯區,4/30更新,https://www.104.com.tw/job/7vs5q
〔資訊實習〕系統開發/QA實習生 (C#/.NET),台新金控_台新國際商業銀行股份有限公司,時薪200~220元,日班，08:30-17:30,台北市內湖區,5/06更新,https://www.104.com.tw/job/6g0mq
實習專案助理-高雄(部門：K-02),網曜管理顧問有限公司,"月薪27,470元",日班，09:00-18:00,高雄市新興區,5/06更新,https://www.104.com.tw/job/89jw3
Revenue Account Operations Internship (Cantonese) 客戶營收管理實習 (粵語),inline_樂排股份有限公司,時薪183元,日班，10:00-19:00,台北市中正區,5/06更新,https://www.104.com.tw/job/810tv
Intern 產品企劃實習生,瑋霖有限公司,時薪183~199元,日班，09:00-18:00,台北市中山區,5/03更新,https://www.104.com.tw/job/86e7x
